id,track_name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,prime_genre,
284882215,Facebook,389879808,0,2974676,212,3.5,Social Networking,
389801252,Instagram,113954816,0,2161558,1289,4.5,Photo & Video,
420009108,Temple Run,65921024,0,1724546,3842,4.5,Games,
284035177,Pandora - Music & Radio,130242560,0,1126879,3594,4,Music,
429047995,Pinterest,74778624,0,1061624,1814,4.5,Social Networking,
282935706,Bible,92774400,0,985920,5320,4.5,Reference,
324684580,Spotify Music,132510720,0,878563,8253,4.5,Music,
343200656,Angry Birds,175966208,0,824451,107,4.5,Games,
362949845,Fruit Ninja Classic,104590336,1.99,698516,132,4.5,Games,
359917414,Solitaire,101943296,0,679055,9673,4.5,Games,
469369175,CSR Racing,524803072,0,677247,2029,4.5,Games,
293778748,PAC-MAN,100849664,0,508808,99,3,Games,
341232718,Calorie Counter & Diet Tracker by MyFitnessPal,152700928,0,507706,181,4.5,Health & Fitness,
440045374,DragonVale,153074688,0,503230,282,4.5,Games,
295646461,"The Weather Channel: Forecast, Radar & Alerts",199734272,0,495626,5893,3.5,Weather,
284815942,Google – Search made just for mobile,179979264,0,479440,203,3.5,Utilities,
466965151,The Sims™ FreePlay,695603200,0,446880,1832,4.5,Games,
293622097,Google Earth,37214208,0,446185,1359,3.5,Travel,
350642635,Plants vs. Zombies,105379840,0.99,426463,680,5,Games,
352683833,"Groupon - Deals, Coupons & Discount Shopping App",127382528,0,417779,914,4.5,Shopping,
422667065,Tiny Tower - Free City Building,124720128,0,414803,4536,4.5,Games,
457446957,Jetpack Joyride,108813312,0,405647,877,4.5,Games,
284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,0,402925,136,4,Music,
307727765,Doodle Jump,48741376,0.99,395261,88,4.5,Games,
297368629,Lose It! – Weight Loss Program and Calorie Counter,182054912,0,373835,402,4,Health & Fitness,
304878510,Skype for iPhone,133238784,0,373519,127,3.5,Social Networking,
366247306,▻Sudoku,71002112,0,359832,17119,4.5,Games,
333903271,Twitter,210569216,0,354058,452,3.5,News,
454638411,Messenger,275729408,0,351466,892,3,Social Networking,
323229106,"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,0,345046,3040,4.5,Navigation,
310738695,Zillow Real Estate - Homes for Sale & for Rent,132632576,0,342969,88478,4.5,Lifestyle,
305343404,Tumblr,151573504,0,334293,919,4,Social Networking,
403858572,Fruit Ninja®,163801088,0,327025,82,4.5,Games,
387428400,Infinity Blade,624107810,0.99,326482,177050,5,Games,
447188370,Snapchat,203038720,0,323905,576,2.5,Photo & Video,
363590051,Netflix,125016064,0,308844,139,3.5,Entertainment,
331177714,Starbucks,135032832,0,303856,7027,4.5,Food & Drink,
421167112,My Horse,301896704,0,293857,249,4.5,Games,
290638154,iHeartRadio – Free Music & Radio Stations,116443136,0,293228,110,4,Music,
307906541,Fandango Movies - Times + Tickets,81924096,0,291787,589,4,Entertainment,
317469184,"ESPN: Get scores, news, alerts & watch live sports",51538944,0,290996,150,3.5,Sports,
310633997,WhatsApp Messenger,135044096,0,287589,73088,4.5,Social Networking,
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,0,262241,649,4,Shopping,
357218860,Kik,151864320,0,260965,228,4,Social Networking,
436491861,Domino's Pizza USA,105743360,0,258624,2481,5,Food & Drink,
302584613,"Kindle – Read eBooks, Magazines & Textbooks",169747456,0,252076,80,3.5,Book,
298867247,Chase Mobile℠,39505920,0,233270,14625,4.5,Finance,
300238550,"Mint: Personal Finance, Budget, Bills & Money",162891776,0,232940,683,4,Finance,
284910350,"Yelp - Nearby Restaurants, Shopping & Services",167407616,0,223885,3726,4,Travel,
469960709,Bejeweled Blitz,91591680,0,221002,131,4,Games,
417817520,Tiny Wings,30252032,0.99,219418,328,4.5,Games,
322423174,Traffic Rush,8573952,0.99,213092,51,3.5,Games,
364252504,"The Weather Channel App for iPad – best local forecast, radar map, and storm tracking",59101184,0,208648,25664,4,Weather,
308750436,Dictionary.com Dictionary & Thesaurus,111275008,0,200047,177,4,Reference,
328415391,Yahoo Fantasy Sports,131000320,0,190670,19,3.5,Sports,
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,0,188583,2822,3.5,Weather,
439873467,Magic Jigsaw Puzzles,235259904,0,187666,1263,4.5,Games,
301387274,Pocket God,145293312,0.99,187529,1071,4,Entertainment,
303849934,Beer Pong Game,188956672,0,187315,9,2,Games,
346453382,Glow Hockey 2 FREE,34056767,0,186653,226,3.5,Games,
431946152,ROBLOX,115178496,0,183621,300,4.5,Games,
342792525,IMDb Movies & TV - Trailers and Showtimes,88702976,0,183425,4724,4.5,Entertainment,
